"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"108.3","120.9","148.5","15.7","-2.8","13.0","2.4","115.6","1.29","33.0","-7.4","-7.9",0,"5294","9.6"
"7i",,,"102.4","112.5","146.1","15.1","-2.1","11.7","7.7","116.4","1.25","31.6","-9.3","-10.4",0,"6160","17.3"
"7i",,,"112.8","125.5","155.2","13.9","-2.6","12.6","5.9","119.1","1.30","31.8","-8.3","-9.0",0,"5536","13.8"
"7i",,,"129.5","143.4","161.6","16.6","-4.7","17.2","-4.5","123.6","1.31","36.1","-6.2","-8.3",0,"4076","5.3"
"7i",,,"123.2","137.1","160.8","14.3","-5.9","14.2","-3.0","119.1","1.35","32.7","-9.2","-9.7",0,"4569","10.4"
"7i",,,"110.6","123.6","150.0","15.8","-3.2","13.3","3.8","118.2","1.27","33.0","-6.6","-6.4",0,"4940","13.0"
"7i",,,"122.1","137.7","161.6","12.3","-6.8","11.7","-7.7","120.9","1.34","28.1","-9.0","-8.5",0,"4011","7.1"
"7i",,,"111.6","125.8","154.9","12.4","-5.8","10.6","-2.2","115.6","1.34","27.6","-9.5","-11.5",0,"4641","12.0"
"7i",,,"44.6","61.4","101.8","11.6","-8.9","2.8","-7.5","115.6","0.88","16.2","-4.7","-8.6",0,"6728","-10.4"
"7i",,,"96.9","109.6","141.6","14.6","-4.5","10.0","2.2","120.9","1.17","28.8","-7.6","-10.2",0,"5279","16.8"
"7i",,,"118.4","132.0","154.4","15.9","-5.3","14.8","-7.6","114.7","1.35","34.3","-6.8","-7.3",0,"4564","2.6"
"7i",,,"114.6","129.9","155.9","12.2","-8.8","10.7","-17.8","115.6","1.35","27.4","-8.4","-8.3",0,"4230","-2.5"
"7i",,,"90.2","114.9","153.3","6.7","-5.3","4.3","-2.5","119.1","1.29","14.7","-7.3","-6.5",0,"4234","12.1"
"7i",,,"116.6","129.8","153.7","16.1","-1.1","14.7","6.6","116.4","1.32","34.4","-7.1","-5.9",0,"4718","10.2"
"7i",,,"115.6","129.3","156.3","13.1","-4.9","11.9","-3.0","113.8","1.37","29.7","-9.7","-9.1",0,"4679","7.8"
"7i",,,"115.7","127.6","155.6","15.2","-1.0","14.1","8.1","120.9","1.29","34.0","-8.5","-7.2",0,"5385","11.7"
"7i",,,"38.3","99.8","151.1","1.8","-4.5","0.4","-1.1","119.1","1.27","2.7","-8.8","-7.4",0,"3790","23.2"
"7i",,,"96.3","109.9","143.7","12.7","-1.4","8.7","5.6","114.7","1.25","25.7","-6.4","-6.5",0,"5098","13.6"
"7i",,,"84.0","104.5","132.7","14.2","-3.1","6.7","-1.8","109.3","1.21","20.6","-5.2","-4.1",0,"2229","6.8"
"7i",,,"101.4","114.7","143.8","15.3","-1.2","11.2","7.5","118.2","1.22","30.5","-6.8","-5.1",0,"5093","14.8"
"7i",,,"112.6","125.9","150.6","15.6","-4.1","13.4","-2.9","115.6","1.30","32.7","-6.3","-6.2",0,"4685","5.5"
"7i",,,"107.5","123.4","146.7","14.7","-3.9","11.0","-3.2","116.4","1.26","28.2","-6.0","-6.3",0,"3747","5.0"
"7i",,,"52.9","74.5","115.3","12.3","-4.3","3.3","0.1","115.6","1.00","15.3","-8.9","-9.1",0,"2000","34.5"
"7i",,,"110.7","121.7","151.7","15.4","-2.3","13.3","6.6","118.2","1.28","33.4","-8.8","-9.5",0,"5567","14.4"
"7i",,,"123.0","133.9","161.3","16.1","-2.9","16.8","5.3","125.4","1.29","37.4","-5.5","-7.2",0,"5630","12.0"
"7i",,,"113.1","127.6","159.2","10.9","-3.4","9.9","1.7","123.6","1.29","26.4","-6.4","-6.1",0,"5023","10.5"
"7i",,,"105.9","121.8","146.4","14.2","-5.2","10.5","-4.2","120.0","1.22","27.6","-6.1","-7.4",0,"3888","7.2"
"7i",,,"117.4","130.3","155.9","15.3","-4.4","14.4","-1.4","117.3","1.33","34.1","-8.4","-8.2",0,"5069","8.3"
"7i",,,"122.7","136.5","157.7","15.4","-3.4","14.9","-3.7","121.8","1.29","33.6","-6.5","-5.3",0,"4277","2.8"
"7i",,,"120.7","134.3","156.2","16.8","-1.0","15.9","9.4","118.2","1.32","35.6","-6.9","-5.4",0,"4494","13.0"
"7i",,,"31.7","62.0","132.4","3.1","-1.4","0.5","-2.5","117.3","1.13","4.5","-4.7","-7.5",0,"10848","-39.5"
"7i",,,"99.4","111.7","144.3","14.0","-1.4","10.3","5.9","117.3","1.23","29.3","-8.1","-7.4",0,"5959","13.0"
"7i",,,"117.5","130.5","154.8","15.9","-4.6","14.8","-1.8","119.1","1.30","34.6","-7.7","-8.9",0,"4860","8.3"
"7i",,,"113.1","128.1","149.5","15.6","-6.2","12.6","-12.8","117.3","1.27","30.4","-5.6","-6.4",0,"3668","-3.2"
"7i",,,"120.3","132.1","157.4","16.4","-3.4","16.2","0.1","120.0","1.31","36.6","-6.9","-7.9",0,"5194","7.2"
"7i",,,"107.0","122.3","146.0","15.8","-2.5","12.2","4.0","117.3","1.24","31.2","-6.8","-7.5",0,"4412","12.2"
"7i",,,"110.2","123.1","154.4","12.6","-3.9","11.0","0.4","119.1","1.30","29.1","-8.8","-7.8",0,"5424","10.1"
"7i",,,"98.7","112.4","143.8","12.9","-4.0","9.1","-3.3","120.0","1.20","26.3","-7.4","-6.0",0,"4912","4.7"
"7i",,,"85.9","115.1","154.9","6.2","-1.9","3.7","5.6","120.9","1.28","13.2","-7.5","-8.1",0,"4464","20.9"
"7i",,,"105.4","118.5","145.4","16.0","-2.8","12.6","1.9","118.2","1.23","32.5","-7.0","-7.4",0,"5051","9.4"
"7i",,,"104.8","116.0","145.7","15.8","-1.3","12.6","5.3","116.4","1.25","32.9","-7.2","-6.8",0,"5636","10.3"
"7i",,,"122.0","135.6","156.4","16.8","-5.1","16.3","-7.6","120.0","1.30","36.1","-5.6","-7.0",0,"4502","2.3"
"7i",,,"126.2","140.1","159.5","16.3","-4.0","16.4","-3.6","122.7","1.30","35.4","-6.1","-6.9",0,"4186","4.6"
"7i",,,"114.7","126.4","152.9","16.3","-3.0","15.0","-0.9","119.1","1.28","35.5","-6.3","-5.6",0,"5371","5.0"
"7i",,,"37.4","54.5","109.5","9.2","-6.0","1.8","0.1","116.4","0.94","12.3","2.3","-3.3",0,"12416","47.8"
"7i",,,"112.7","122.0","153.7","17.3","-0.6","16.0","13.9","120.9","1.27","37.8","-9.5","-8.7",0,"6667","18.5"
"7i",,,"104.1","117.0","148.7","13.0","-1.2","10.3","3.9","119.1","1.25","28.6","-6.6","-4.6",0,"5613","8.0"
"7i",,,"96.1","111.0","151.8","9.9","-0.6","7.0","11.7","120.9","1.26","21.9","-8.7","-7.6",0,"5641","23.6"
"7i",,,"76.2","95.4","127.7","12.3","-6.5","5.5","-6.6","115.6","1.11","19.6","-6.2","-6.5",0,"3402","3.8"
"7i",,,"110.3","125.6","147.7","15.5","-7.0","12.1","-10.0","116.4","1.27","30.0","-5.7","-7.6",0,"3778","3.6"
"7i",,,"98.1","112.4","147.0","11.0","-3.1","7.9","-2.0","117.3","1.25","23.8","-6.2","-6.2",0,"5108","4.2"
"7i",,,"103.0","117.9","141.9","16.1","-1.7","11.5","4.1","110.2","1.29","30.1","-6.9","-6.5",0,"4023","10.9"
"7i",,,"53.2","69.3","97.2","19.5","0.1","5.6","-0.2","118.2","0.82","25.3","-0.8","-6.6",0,"2898","-6.6"
"7i",,,"106.3","124.2","144.5","15.6","-5.7","10.8","-8.8","112.9","1.28","27.4","-4.6","-5.7",0,"3029","1.1"
"7i",,,"111.0","124.9","146.9","16.8","-4.2","13.8","-5.2","113.8","1.29","33.4","-5.4","-4.8",0,"4266","2.5"
"7i",,,"100.0","120.4","143.0","14.8","-4.9","8.7","-8.2","116.4","1.23","23.2","-4.7","-4.6",0,"2372","-2.2"
"7i",,,"114.3","128.9","150.1","16.3","-4.0","14.0","-3.7","119.1","1.26","33.2","-6.7","-6.9",0,"4209","4.3"
"7i",,,"127.0","140.0","160.2","17.4","-0.6","18.2","5.1","120.0","1.34","38.2","-6.9","-5.2",0,"4560","5.6"
"7i",,,"122.8","134.3","157.1","18.4","-1.3","18.5","5.6","119.1","1.32","39.3","-6.9","-6.9",0,"4829","8.4"
"7i",,,"125.0","139.1","160.8","15.0","-4.2","15.1","-0.8","117.3","1.37","33.9","-9.3","-8.5",0,"4458","8.5"
"7i",,,"110.3","124.9","148.8","14.7","-6.2","11.9","-8.9","114.7","1.30","29.9","-6.5","-5.5",0,"4131","2.6"
"7i",,,"121.7","136.3","158.2","14.3","-4.8","13.7","-4.3","116.4","1.36","31.7","-8.9","-6.5",0,"4219","5.8"
"7i",,,"120.7","134.1","158.1","14.6","-5.1","14.1","-4.4","116.4","1.36","33.0","-7.8","-7.7",0,"4654","6.4"
"7i",,,"118.4","129.6","155.1","17.7","-3.4","17.2","1.3","119.1","1.30","38.3","-6.9","-7.4",0,"5341","8.7"
"7i",,,"126.6","141.0","159.7","15.9","-4.9","15.8","-10.8","120.0","1.33","34.2","-6.1","-5.2",0,"3973","-1.8"
"7i",,,"86.3","106.6","137.3","12.6","-6.5","6.2","-9.8","111.1","1.24","19.2","-6.1","-5.8",0,"2510","-3.9"
"7i",,,"119.2","131.0","157.4","16.2","-1.0","15.9","7.7","120.9","1.30","36.4","-8.4","-6.7",0,"5426","10.6"
"7i",,,"118.8","130.9","155.8","17.0","-0.7","16.3","8.6","117.3","1.33","36.9","-7.6","-6.3",0,"5067","11.2"
"7i",,,"120.9","133.5","152.7","18.9","-3.5","17.7","-4.2","113.8","1.34","37.8","-4.7","-5.1",0,"4064","2.1"
"7i",,,"118.0","129.9","154.6","17.3","-2.9","16.4","1.6","116.4","1.33","37.1","-6.8","-7.4",0,"5075","8.1"
"7i",,,"108.4","121.0","151.1","14.0","-2.5","11.7","4.7","117.3","1.29","30.6","-7.5","-6.7",0,"5368","12.5"
"7i",,,"108.8","124.4","146.0","15.9","-4.9","11.7","-11.7","115.6","1.26","29.0","-4.4","-3.6",0,"3317","-6.7"
"7i",,,"124.7","137.1","157.5","17.9","-0.3","17.9","4.9","115.6","1.36","38.0","-6.1","-3.1",0,"4398","4.8"
"7i",,,"120.8","131.4","155.6","18.9","-0.1","18.7","7.1","118.2","1.32","39.9","-5.0","-5.4",0,"5002","7.1"
"7i",,,"106.1","118.5","147.6","14.9","-1.6","11.9","4.2","116.4","1.27","31.3","-8.5","-6.0",0,"5282","9.5"
"7i",,,"120.6","131.7","155.9","18.2","-1.6","18.0","1.8","117.3","1.33","39.1","-6.6","-4.4",0,"5065","4.6"
"7i",,,"113.4","126.7","148.4","17.7","-4.3","15.2","-5.7","115.6","1.28","35.6","-5.8","-5.3",0,"4455","2.0"
"7i",,,"114.0","125.4","152.4","16.7","-2.6","15.1","3.6","115.6","1.32","35.8","-8.3","-7.3",0,"5357","10.1"
"7i",,,"42.5","59.1","116.8","10.0","-9.8","2.2","-1.6","120.0","0.97","13.4","-3.3","-6.8",0,"9106","58.3"
"7i",,,"98.3","110.7","144.9","13.6","0.7","9.8","12.3","119.1","1.22","28.2","-9.9","-4.1",0,"5807","18.7"
"7i",,,"114.8","127.3","153.8","15.2","-3.7","13.9","-2.5","119.1","1.29","33.7","-6.3","-5.3",0,"5176","4.7"
"7i",,,"121.4","134.7","155.9","16.9","-3.4","16.3","-3.7","120.9","1.29","36.2","-6.9","-6.2",0,"4583","2.5"